index,Year,Age,Suicides
0,1981,10,0
1,1981,11,0
2,1981,12,2
3,1981,13,2
4,1981,14,1
5,1981,15,20
6,1981,16,31
7,1981,17,36
8,1981,18,49
9,1981,19,56
10,1981,20,58
11,1981,21,58
12,1981,22,62
13,1981,23,89
14,1981,24,77
15,1981,25,72
16,1981,26,69
17,1981,27,84
18,1981,28,87
19,1981,29,96
20,1981,30,98
21,1981,31,92
22,1981,32,92
23,1981,33,84
24,1981,34,84
25,1981,35,90
26,1981,36,93
27,1981,37,85
28,1981,38,98
29,1981,39,68
30,1981,40,85
31,1981,41,81
32,1981,42,89
33,1981,43,97
34,1981,44,87
35,1981,45,98
36,1981,46,63
37,1981,47,98
38,1981,48,88
39,1981,49,107
40,1981,50,112
41,1981,51,116
42,1981,52,106
43,1981,53,103
44,1981,54,100
45,1981,55,110
46,1981,56,107
47,1981,57,110
48,1981,58,112
49,1981,59,118
50,1981,60,123
51,1981,61,122
52,1981,62,75
53,1981,63,75
54,1981,64,84
55,1981,65,90
56,1981,66,78
57,1981,67,109
58,1981,68,101
59,1981,69,86
60,1981,70,74
61,1981,71,80
62,1981,72,87
63,1981,73,89
64,1981,74,87
65,1981,75,79
66,1981,76,65
67,1981,77,57
68,1981,78,55
69,1981,79,47
70,1981,80,40
71,1981,81,45
72,1981,82,29
73,1981,83,26
74,1981,84,23
75,1981,85,23
76,1981,86,14
77,1981,87,12
78,1981,88,7
79,1981,89,7
80,1982,10,0
81,1982,11,0
82,1982,12,0
83,1982,13,4
84,1982,14,3
85,1982,15,10
86,1982,16,24
87,1982,17,30
88,1982,18,35
89,1982,19,52
90,1982,20,73
91,1982,21,60
92,1982,22,58
93,1982,23,68
94,1982,24,82
95,1982,25,71
96,1982,26,92
97,1982,27,80
98,1982,28,86
99,1982,29,85
100,1982,30,71
101,1982,31,81
102,1982,32,98
103,1982,33,77
104,1982,34,101
105,1982,35,106
106,1982,36,86
107,1982,37,91
108,1982,38,82
109,1982,39,80
110,1982,40,72
111,1982,41,91
112,1982,42,82
113,1982,43,80
114,1982,44,97
115,1982,45,91
116,1982,46,96
117,1982,47,86
118,1982,48,89
119,1982,49,118
120,1982,50,79
121,1982,51,96
122,1982,52,111
123,1982,53,101
124,1982,54,95
125,1982,55,110
126,1982,56,124
127,1982,57,110
128,1982,58,90
129,1982,59,112
130,1982,60,95
131,1982,61,102
132,1982,62,106
133,1982,63,72
134,1982,64,83
135,1982,65,79
136,1982,66,96
137,1982,67,103
138,1982,68,95
139,1982,69,79
140,1982,70,88
141,1982,71,73
142,1982,72,86
143,1982,73,84
144,1982,74,86
145,1982,75,71
146,1982,76,66
147,1982,77,62
148,1982,78,56
149,1982,79,44
150,1982,80,43
151,1982,81,47
152,1982,82,35
153,1982,83,26
154,1982,84,30
155,1982,85,21
156,1982,86,24
157,1982,87,14
158,1982,88,12
159,1982,89,9
160,1983,10,0
161,1983,11,0
162,1983,12,0
163,1983,13,4
164,1983,14,4
165,1983,15,10
166,1983,16,16
167,1983,17,26
168,1983,18,48
169,1983,19,56
170,1983,20,72
171,1983,21,75
172,1983,22,67
173,1983,23,54
174,1983,24,78
175,1983,25,68
176,1983,26,73
177,1983,27,83
178,1983,28,70
179,1983,29,81
180,1983,30,65
181,1983,31,81
182,1983,32,85
183,1983,33,86
184,1983,34,78
185,1983,35,110
186,1983,36,93
187,1983,37,99
188,1983,38,99
189,1983,39,93
190,1983,40,97
191,1983,41,83
192,1983,42,84
193,1983,43,86
194,1983,44,84
195,1983,45,104
196,1983,46,77
197,1983,47,92
198,1983,48,80
199,1983,49,93
200,1983,50,91
201,1983,51,97
202,1983,52,96
203,1983,53,102
204,1983,54,92
205,1983,55,115
206,1983,56,90
207,1983,57,106
208,1983,58,93
209,1983,59,92
210,1983,60,102
211,1983,61,102
212,1983,62,109
213,1983,63,125
214,1983,64,61
215,1983,65,62
216,1983,66,81
217,1983,67,100
218,1983,68,101
219,1983,69,73
220,1983,70,67
221,1983,71,80
222,1983,72,86
223,1983,73,92
224,1983,74,67
225,1983,75,75
226,1983,76,72
227,1983,77,57
228,1983,78,52
229,1983,79,62
230,1983,80,42
231,1983,81,41
232,1983,82,31
233,1983,83,28
234,1983,84,28
235,1983,85,21
236,1983,86,12
237,1983,87,19
238,1983,88,18
239,1983,89,7
240,1984,10,0
241,1984,11,0
242,1984,12,0
243,1984,13,1
244,1984,14,1
245,1984,15,16
246,1984,16,13
247,1984,17,35
248,1984,18,44
249,1984,19,56
250,1984,20,54
251,1984,21,78
252,1984,22,70
253,1984,23,52
254,1984,24,89
255,1984,25,84
256,1984,26,66
257,1984,27,69
258,1984,28,85
259,1984,29,82
260,1984,30,73
261,1984,31,67
262,1984,32,69
263,1984,33,96
264,1984,34,103
265,1984,35,95
266,1984,36,93
267,1984,37,118
268,1984,38,97
269,1984,39,104
270,1984,40,86
271,1984,41,98
272,1984,42,94
273,1984,43,84
274,1984,44,91
275,1984,45,124
276,1984,46,84
277,1984,47,87
278,1984,48,89
279,1984,49,103
280,1984,50,100
281,1984,51,76
282,1984,52,96
283,1984,53,107
284,1984,54,109
285,1984,55,93
286,1984,56,89
287,1984,57,110
288,1984,58,105
289,1984,59,91
290,1984,60,101
291,1984,61,101
292,1984,62,105
293,1984,63,100
294,1984,64,104
295,1984,65,79
296,1984,66,57
297,1984,67,66
298,1984,68,81
299,1984,69,81
300,1984,70,69
301,1984,71,79
302,1984,72,87
303,1984,73,82
304,1984,74,74
305,1984,75,78
